yop_kodu,kullanilan_tercih_2022,kullanilan_tercih_2023,kullanilan_tercih_2024,bos_birakilan_tercih_2022,bos_birakilan_tercih_2023,bos_birakilan_tercih_2024,ortalama_kullanilan_tercih_2022,ortalama_kullanilan_tercih_2023,ortalama_kullanilan_tercih_2024
100710181,1080.0,950.0,1066.0,888.0,994.0,1094.0,13.0,12.0,12.0
100710199,893.0,896.0,1000.0,811.0,784.0,944.0,13.0,13.0,12.0
100710206,924.0,943.0,1165.0,1044.0,1025.0,923.0,11.0,12.0,13.0
100710215,834.0,844.0,974.0,1110.0,1124.0,1114.0,10.0,10.0,11.0
100710224,76.0,145.0,264.0,116.0,167.0,264.0,10.0,11.0,12.0
100710233,987.0,885.0,459.0,741.0,843.0,501.0,14.0,12.0,11.0
100710242,25.0,41.0,92.0,47.0,31.0,76.0,8.0,14.0,13.0
100710251,1010.0,947.0,1080.0,670.0,757.0,720.0,14.0,13.0,14.0
100710278,4348.0,4198.0,4296.0,2852.0,3002.0,3144.0,14.0,14.0,14.0
100710287,986.0,971.0,570.0,742.0,757.0,414.0,14.0,13.0,14.0
100710296,866.0,755.0,1040.0,862.0,925.0,760.0,12.0,11.0,14.0
100710427,433.0,484.0,415.0,311.0,380.0,425.0,14.0,13.0,12.0
100710436,1177.0,1185.0,1121.0,623.0,615.0,679.0,16.0,16.0,15.0
100710445,1057.0,877.0,910.0,911.0,1091.0,1058.0,13.0,11.0,11.0
100710463,545.0,793.0,691.0,655.0,647.0,509.0,11.0,13.0,14.0
100710472,756.0,802.0,499.0,492.0,446.0,317.0,15.0,15.0,15.0
100710481,387.0,389.0,285.0,573.0,571.0,459.0,10.0,10.0,9.0
100710499,419.0,355.0,326.0,541.0,605.0,418.0,10.0,9.0,11.0
100710506,524.0,503.0,327.0,436.0,481.0,393.0,13.0,12.0,11.0
100710524,634.0,376.0,268.0,230.0,464.0,356.0,18.0,11.0,10.0
100710533,427.0,409.0,331.0,533.0,551.0,413.0,11.0,10.0,11.0
100710542,554.0,610.0,397.0,406.0,374.0,347.0,14.0,15.0,13.0
100710551,543.0,532.0,472.0,417.0,452.0,272.0,14.0,13.0,15.0
100710569,772.0,789.0,332.0,716.0,651.0,388.0,12.0,13.0,11.0
100710578,894.0,916.0,889.0,834.0,812.0,935.0,12.0,13.0,12.0
100710587,795.0,808.0,390.0,429.0,416.0,354.0,16.0,16.0,13.0
100710596,952.0,657.0,815.0,536.0,831.0,793.0,15.0,11.0,12.0
100710603,779.0,709.0,946.0,709.0,779.0,614.0,13.0,11.0,15.0
100710612,696.0,916.0,537.0,504.0,284.0,447.0,14.0,18.0,13.0
100710648,1194.0,1104.0,659.0,966.0,1056.0,781.0,13.0,12.0,11.0
100710657,657.0,670.0,285.0,831.0,818.0,459.0,11.0,11.0,9.0
100710675,559.0,495.0,623.0,929.0,993.0,865.0,9.0,8.0,10.0
100710684,1724.0,1897.0,1865.0,916.0,743.0,775.0,16.0,17.0,17.0
100710693,373.0,421.0,479.0,347.0,299.0,361.0,12.0,14.0,14.0
100710745,1669.0,1444.0,1368.0,1571.0,1796.0,1560.0,12.0,11.0,11.0
100710754,803.0,718.0,759.0,901.0,962.0,921.0,11.0,10.0,11.0
100710815,610.0,576.0,634.0,1070.0,1104.0,1166.0,9.0,8.0,8.0
100710824,3027.0,2857.0,2515.0,2013.0,2183.0,2525.0,14.0,14.0,12.0
100710833,1140.0,992.0,577.0,540.0,688.0,383.0,16.0,14.0,14.0
100710869,501.0,412.0,480.0,723.0,788.0,888.0,10.0,8.0,8.0
100710878,1129.0,1024.0,963.0,1031.0,1136.0,957.0,13.0,11.0,12.0
100711019,510.0,429.0,325.0,354.0,411.0,275.0,14.0,12.0,13.0
100711037,852.0,842.0,716.0,588.0,646.0,532.0,14.0,14.0,14.0
100711046,1028.0,1141.0,1305.0,772.0,659.0,615.0,14.0,15.0,16.0
