yop_kodu,university,faculty,program,program_detail,city,university_type,scholarship,puan_type,kontenjan_2025,yerlesen_2025,taban_2025,tbs_2025,tavan_2025,tavan_bs_2025,has_2025
201990501,HALİÇ ÜNİVERSİTESİ,Fen-Edebiyat Fakültesi,Psikoloji,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,12,11,"381,67456",55.078,"394,21886",36.851,True
201910087,HALİÇ ÜNİVERSİTESİ,Fen-Edebiyat Fakültesi,Psikoloji,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,15,14,"369,60700",77.754,"380,12638",57.702,True
201910157,HALİÇ ÜNİVERSİTESİ,İşletme Fakültesi,İşletme,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,13,11,"361,61061",95.431,"375,03269",67.049,True
201990485,HALİÇ ÜNİVERSİTESİ,İşletme Fakültesi,Uluslararası Ticaret ve İşletmecilik,(İngilizce) (Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,13,11,"345,67958",138.045,"354,36289",113.404,True
201990853,HALİÇ ÜNİVERSİTESİ,Mimarlık Fakültesi,İç Mimarlık ve Çevre Tasarımı,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,10,10,"347,08505",133.772,"370,53468",75.814,True
201910139,HALİÇ ÜNİVERSİTESİ,İşletme Fakültesi,İşletme,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,12,11,"346,13625",136.658,"353,37602",115.941,True
201910642,HALİÇ ÜNİVERSİTESİ,İşletme Fakültesi,Siyaset Bilimi ve Uluslararası İlişkiler,(Burslu) (4 Yıllık),İSTANBUL,Vakıf,Burslu,ea,9,8,"338,11151",162.832,"362,74765",92.765,True
201910915,HALİÇ ÜNİVERSİTESİ,Fen-Edebiyat Fakültesi,Psikoloji,(%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,ea,72,72,"288,71893",428.743,"343,80498",143.883,True
201990832,HALİÇ ÜNİVERSİTESİ,İşletme Fakültesi,Yönetim Bilişim Sistemleri,(İngilizce) (%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,ea,43,43,"294,23908",387.815,"332,62747",182.606,True
201990527,HALİÇ ÜNİVERSİTESİ,Fen-Edebiyat Fakültesi,Psikoloji,(İngilizce) (%25 İndirimli) (4 Yıllık),İSTANBUL,Vakıf,%25 İndirimli,ea,57,57,"244,65140",869.147,"337,28128",165.765,True
