yop_kodu,bir_kontenjana_talip_olan_aday_sayisi_2025,ilk_uc_sirada_tercih_eden_sayisi_2025,ilk_uc_sirada_tercih_eden_orani_2025,ilk_uc_tercih_olarak_yerlesen_sayisi_2025,ilk_uc_tercih_olarak_yerlesen_orani_2025
100890060,"15,8",71.0,"9,2",7.0,"14,9"
100890063,"21,2",143.0,"10,6",6.0,"9,7"
100890064,"36,5",216.0,"14,4",14.0,"34,1"
100890073,"17,4",27.0,"15,5",8.0,"88,9"
100890083,"9,6",74.0,"11,5",9.0,"13,4"
100890090,"30,2",133.0,"14,2",5.0,"16,1"
100890104,"15,8",82.0,"14,1",8.0,"22,2"
100890118,"106,3",253.0,"9,2",1.0,"3,8"
100910019,"0,9",0.0,"0,0",,
100910028,"8,4",8.0,"4,5",5.0,"26,3"
100910037,"21,4",115.0,"12,2",9.0,"20,5"
100910046,"38,2",157.0,"13,2",7.0,"22,6"
100910055,"10,7",71.0,"16,2",31.0,"75,6"
100910064,"9,4",70.0,"14,3",30.0,"57,7"
100910082,"14,2",70.0,"9,5",6.0,"11,5"
100910143,"19,7",71.0,"11,3",4.0,"12,9"
100910152,"16,7",98.0,"18,4",2.0,"6,5"
100910204,"9,8",59.0,"18,9",16.0,"50,0"
100910231,"28,7",201.0,"17,1",9.0,"22,0"
100910249,"9,9",51.0,"16,1",15.0,"46,9"
100910258,"14,6",84.0,"18,0",8.0,"25,8"
100910267,"9,8",226.0,"18,4",79.0,"63,2"
100910285,"40,0",255.0,"7,8",9.0,"11,0"
100990017,"2,9",18.0,"29,5",7.0,"50,0"
100990022,"28,0",130.0,"11,0",11.0,"26,8"
100990029,"57,9",363.0,"9,8",8.0,"12,5"
100990030,"46,5",646.0,"14,5",19.0,"19,8"
100990034,"25,2",264.0,"18,4",6.0,"10,5"
100990038,"14,7",128.0,"14,8",19.0,"32,8"
100990046,"25,0",64.0,"18,3",7.0,"53,8"
100990067,"23,9",91.0,"13,2",2.0,"6,9"
100990081,"14,7",78.0,"6,9",6.0,"7,8"
100990088,"24,0",36.0,"2,9",1.0,"1,9"
100990095,"13,7",10.0,"2,8",1.0,"3,8"
100990109,"18,8",156.0,"13,0",6.0,"9,7"
100990116,"6,2",4.0,"5,9",3.0,"27,3"
100990123,"62,3",189.0,"11,2",3.0,"11,1"
101010016,"27,5",446.0,"17,4",7.0,"7,5"
101010025,"18,1",145.0,"25,1",22.0,"68,8"
101010034,"13,0",100.0,"20,8",16.0,"43,2"
101010043,"16,3",138.0,"26,4",13.0,"40,6"
101010052,"16,3",161.0,"23,6",21.0,"50,0"
